,OSEBuildingID,BuildingType,PrimaryPropertyType,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,GHGEmissionsIntensity,BuildingAge,most_use_steam,most_use_natural,most_use_electric,use_stream,use_electricity,use_natural,percent_steam,percent_natural,percent_electricity,LargestPropertyUseTypeGFA_rate,SecondLargestPropertyUseTypeGFA_rate,ThirdLargestPropertyUseTypeGFA_rate,PropertyGFABuilding(s)_rate,PropertyGFAParking_rate,GFAPerBuilding,GFAPerFloor,NumberOfAllUseTypes,TotalGHGEmissionsLog,SiteEnergyUse(kBtu)Log,Age_cat
1361,26233,NonResidential,Other,6172900220,GREATER DUWAMISH,47.56774,-122.33289,1.0,1,36000,"Office, Other",Other,Office,no information,,280.7000122,0.0,2922836.0,723217.0,Compliant,1.63,66,0,0,1,0,1,1,0.0,19.83561401877592,80.16438598122409,94.44,3.89,0.0,100.0,0.0,36000.0,36000.0,13,1.77662855342015,6.5618231858341405,"(60, 70]"
1362,26098,NonResidential,Education,6140100225,NORTHWEST,47.71387,-122.3535,1.0,2,23222,K-12 School,K-12 School,no information,no information,62.0,114.6999969,0.0,210763.0,1009100.0,Compliant,2.37,78,0,1,0,0,1,1,0.0,82.72240407324429,17.27759592675571,64.62,0.0,0.0,100.0,0.0,23222.0,11611.0,11,1.7486530934242674,6.086311459323094,"(70, 80]"
1363,26115,NonResidential,Mixed Use,8804900865,EAST,47.61426,-122.3253,1.0,2,24476,"Fitness Center/Health Club/Gym, Office, Other, Other - Utility, Restaurant, Retail Store",Fitness Center/Health Club/Gym,Office,Retail Store,,211.1999969,0.0,1077101.0,1584953.0,Compliant,3.75,92,0,1,0,0,1,1,0.0,59.53872460889223,40.46127539110777,30.65,23.99,21.96,100.0,0.0,24476.0,12238.0,88,1.9670328821587024,6.425217064858086,"(90, 100]"
1364,26119,NonResidential,Retail,8804900910,EAST,47.61386,-122.32481,1.0,2,24750,"Medical Office, Office, Retail Store",Retail Store,Office,Medical Office,,63.5,0.0,292118.0,490226.0,Compliant,1.13,106,0,1,0,0,1,1,0.0,62.66118229321117,37.33881770678883,77.74,8.28,5.05,100.0,0.0,24750.0,12375.0,36,1.4634450317704277,5.893398207229376,"(100, 110]"
1365,26125,NonResidential,Education,8804901000,EAST,47.61339,-122.32594,1.0,3,60000,K-12 School,K-12 School,no information,no information,52.0,143.8999939,0.0,1537012.0,2088395.0,Compliant,2.03,112,0,1,0,0,1,1,0.0,57.60442896480313,42.39557103519687,81.31,0.0,0.0,100.0,0.0,60000.0,20000.0,11,2.088596728262746,6.5593569486450845,
1366,26126,NonResidential,Other,8804901025,EAST,47.61449,-122.32592,1.0,2,46560,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,no information,no information,,34.40000153,0.0,419713.0,270845.0,Compliant,0.37,62,0,0,1,0,1,1,0.0,39.22118055253867,60.77881944746133,100.0,0.0,0.0,100.0,0.0,46560.0,23280.0,37,1.2626883443016965,5.839200593232297,"(60, 70]"
1367,26139,NonResidential,Other,8807900070,MAGNOLIA / QUEEN ANNE,47.63303,-122.34268,1.0,3,30408,"Bank Branch, Parking",Bank Branch,Parking,no information,61.0,180.8999939,0.0,1440554.0,0.0,Compliant,0.33,36,0,0,1,0,1,0,0.0,0.0,100.0,82.22,17.78,0.0,100.0,0.0,30408.0,10136.0,20,1.04296907339318,6.158529919548039,"(30, 40]"
1368,26146,NonResidential,Office,8807900390,MAGNOLIA / QUEEN ANNE,47.63439,-122.34078,1.0,3,30109,"Office, Parking",Office,Parking,no information,89.0,124.0999985,0.0,949635.0,516161.0,Compliant,1.13,96,0,0,1,0,1,1,0.0,35.21369958711853,64.78630041288146,94.32,23.91,0.0,100.0,0.0,30109.0,10036.333,15,1.5444401373176924,6.16607375442992,"(90, 100]"
1369,26150,SPS-District K-12,Education,9396700035,SOUTHWEST,47.55257,-122.38019,1.0,2,39929,K-12 School,K-12 School,no information,no information,82.0,103.4000015,0.0,1065111.0,748607.0,Error - Correct Default Data,1.18,52,0,0,1,0,1,1,0.0,41.27471856154044,58.72528143845956,100.0,0.0,0.0,100.0,0.0,39929.0,19964.5,11,1.6828667956623247,6.258570002568332,"(50, 60]"
1370,26154,NonResidential,Office,9405800065,MAGNOLIA / QUEEN ANNE,47.63985,-122.36712,1.0,2,25481,Office,Office,no information,no information,92.0,55.79999924,0.0,219291.0,697809.0,Compliant,1.51,56,0,1,0,0,1,1,0.0,76.08864900228983,23.911350997710173,100.0,0.0,0.0,100.0,0.0,25481.0,12740.5,6,1.5975855017522047,5.962417314982225,"(50, 60]"
1371,26157,NonResidential,Healthcare,9412400225,SOUTHEAST,47.53515,-122.26556,1.0,1,141297,Senior Care Community,Senior Care Community,no information,no information,76.0,244.8999939,0.0,6797882.0,12625460.0,Compliant,5.08,49,0,1,0,0,1,1,0.0,65.00148120750795,34.99851879249204,100.0,0.0,0.0,100.0,0.0,141297.0,141297.0,21,2.8566866065251744,7.2883240242303176,"(40, 50]"
1372,26183,NonResidential,Office,6849200110,LAKE UNION,47.62298,-122.33082,1.0,2,27788,"Office, Other - Restaurant/Bar",Office,Other - Restaurant/Bar,no information,73.0,151.8999939,0.0,1659964.0,459842.0,Compliant,1.3,104,0,0,1,0,1,1,0.0,21.692645459065595,78.30735454093441,117.35,17.54,0.0,100.0,0.0,27788.0,13894.0,30,1.568084331315394,6.326296373161262,"(100, 110]"
